"","FC","edgeR.STAT","PVAL","ADJ.PVAL","ENSEMBL"
"247",10.063811434333,535.739896724963,6.55841503194713e-08,9.16222085954298e-06,"ENSG00000179593"
"7704",7.1469700847772,1478.89501695123,3.63713473147691e-12,2.89625038667507e-08,"ENSG00000109906"
"10218",5.67560725388353,481.890682593584,5.24224940394055e-09,2.3422215052114e-06,"ENSG00000171819"
"79689",5.22479245323993,387.855077036078,1.68496071840425e-07,1.62757362083497e-05,"ENSG00000127954"
"5625",4.85240062810384,255.228442426221,1.79917468594837e-08,4.69732066367439e-06,"ENSG00000100033"
"11170",4.73744503938149,653.472282761128,1.7807383466653e-10,3.91664277568189e-07,"ENSG00000168309"
"203190",4.68101535837396,106.825691851888,1.12893792938583e-06,5.31936848029546e-05,"ENSG00000168481"
"148145",-4.58771311530617,138.671816686481,3.33690331430885e-07,2.36195349135872e-05,"ENSG00000267339"
"8404",4.55576473112481,594.827111304823,8.85018119004193e-08,1.0699743497842e-05,"ENSG00000152583"
"28999",4.48033577183269,361.866512236917,1.18505198816659e-06,5.50237258412279e-05,"ENSG00000163884"
"140711",4.09263349079495,186.506711906794,8.16104313877812e-08,1.03269230046397e-05,"ENSG00000101342"
"65997",4.06261343744545,112.933595499066,3.55677086072187e-05,0.000569297816360367,"ENSG00000128045"
"387700",4.00886951753475,239.673305731486,2.43981037240764e-08,5.39672499874501e-06,"ENSG00000152779"
"26045",-4.00380602964267,125.455584192036,1.62848554527276e-06,6.91606954507041e-05,"ENSG00000146006"
"2289",3.99925546756547,141.838273638213,8.96277452207061e-05,0.0010971648504112,"ENSG00000096060"
"79805",-3.94981869299878,141.700113575303,3.01372425564419e-07,2.23239872071579e-05,"ENSG00000143494"
"162333",3.86704857138088,268.665661328573,1.40256408304522e-08,3.91881326080318e-06,"ENSG00000173838"
"147",3.79843854766488,109.574246702506,6.83904092546928e-05,0.00092259418642592,"ENSG00000170214"
"8515",3.77344927264492,131.959128230138,4.10222787149343e-05,0.000634224728233305,"ENSG00000143127"
"25939",3.75828585209845,427.749745829038,2.03401007187848e-07,1.77987057168883e-05,"ENSG00000101347"
"55301",3.75066489372945,46.0556588768612,4.70952581583035e-05,0.000696778782376024,"ENSG00000152463"
"2878",3.71985459865334,330.978638217718,1.2278795266978e-06,5.66817662092439e-05,"ENSG00000211445"
"7412",-3.65849082565965,529.110657442775,1.59741719734158e-08,4.35978141801037e-06,"ENSG00000162692"
"63924",3.63333603200136,90.2578196589065,2.44908423254916e-06,8.87561542783733e-05,"ENSG00000187288"
"6563",-3.62825103710448,28.3157496908385,0.00239936007611036,0.0125039949516144,"ENSG00000141469"
"392305",3.52722333390572,185.188334833976,8.44296117407917e-08,1.04397592230676e-05,"ENSG00000178723"
"3625",3.49081553846255,306.479213367041,5.74373126482534e-07,3.42601738290668e-05,"ENSG00000163083"
"6854",3.45312520849087,156.530215899651,1.88163157385584e-07,1.69242228185534e-05,"ENSG00000157152"
"54567",3.428618805298,16.9064686486513,0.0091331269609315,0.0335070674913142,"ENSG00000128917"
"4128",3.33815964741668,571.000467110304,1.68232407714095e-08,4.46544887542446e-06,"ENSG00000189221"
"783",3.28064452676432,1484.97248957262,2.99705958061214e-12,2.89625038667507e-08,"ENSG00000165995"
"345557",3.2137600412869,32.6328192545785,0.000676210100925009,0.00489821849952854,"ENSG00000182836"
"730",3.18820264167147,63.3538521096008,0.00104841837436582,0.00670028532510037,"ENSG00000112936"
"1831",3.18659842146781,119.530077845271,0.000107351288537233,0.00125251034523368,"ENSG00000157514"
"5187",3.17200053945575,427.099287795541,8.86830429307515e-08,1.0699743497842e-05,"ENSG00000179094"
"654463",-3.12611997714142,212.280542999369,1.029678489358e-06,4.92452240886353e-05,"ENSG00000214814"
"4501",3.12559451328473,172.521353081823,1.18448787800357e-07,1.27216224995876e-05,"ENSG00000187193"
"342527",-3.11805169754434,137.93012862009,3.50322083028775e-07,2.4686856169541e-05,"ENSG00000188176"
"203430",3.11040454270687,47.1958548122694,0.000483167463031826,0.00379808737228275,"ENSG00000179300"
"3952",3.09822023935013,107.044543108762,1.44401708647981e-05,0.000292587991339407,"ENSG00000174697"
"7472",-3.07126946279528,536.060427563479,4.74339111620904e-10,5.34911206130927e-07,"ENSG00000105989"
"1959",-3.03698017375191,90.5065854926257,2.41852275618261e-06,8.81404883637624e-05,"ENSG00000122877"
"84189",-3.03331812838742,130.913310470404,4.37481062505444e-07,2.88189447357193e-05,"ENSG00000184564"
"84152",-3.02364531171776,190.358811829175,7.39969235247117e-08,9.9870763055471e-06,"ENSG00000131771"
"1843",2.93811629924117,716.453941243563,2.95113106292746e-10,3.91664277568189e-07,"ENSG00000120129"
"7079",2.92809967890161,524.456787230541,5.28470752645566e-10,5.34911206130927e-07,"ENSG00000157150"
"360",-2.9276730579388,131.767211547651,4.9220900206379e-06,0.000143833404896659,"ENSG00000165272"
"2752",2.91303828332791,95.9137704509754,0.000174819004621514,0.00177788471749823,"ENSG00000135821"
"26112",2.90591077101004,269.153070424381,2.27583120619362e-06,8.44869179250342e-05,"ENSG00000198624"
"28984",2.89201309201782,23.6851237622087,0.00707624145630953,0.0279020107534502,"ENSG00000102760"
"57709",-2.88540769574309,270.641604280673,1.01151808222594e-07,1.16402099952654e-05,"ENSG00000013293"
"94274",2.86710300632871,281.58281092385,5.33398659458057e-08,8.24748257332914e-06,"ENSG00000167641"
"57538",2.86224664705763,36.5913802735401,0.00102308765182007,0.00659663722384069,"ENSG00000136383"
"8707",2.8610868643057,100.757996242663,1.58077516467406e-06,6.86495787812018e-05,"ENSG00000162630"
